bri,mired,watt
216,233,4.62
216,243,4.64
216,253,4.82
216,263,5.08
216,273,5.09
216,283,5.06
216,293,5.08
216,303,5.04
216,313,5.04
216,323,5.06
216,333,5.05
216,343,4.92
216,353,4.92
216,363,4.92
216,373,4.92
216,383,4.8
216,393,4.57
216,403,4.49
216,413,4.25
216,423,4.03
216,433,3.88
216,443,3.85
216,453,3.79
216,454,3.6
221,153,3.9
221,163,3.9
221,173,4.0
221,183,4.09
221,193,4.23
221,203,4.4
221,213,4.44
221,223,4.65
221,233,4.71
221,243,4.89
221,253,4.92
221,263,5.25
221,273,5.29
221,283,5.28
221,293,5.28
221,303,5.26
221,313,5.28
221,323,5.19
221,333,5.13
221,343,5.11
221,353,5.12
221,363,5.12
221,373,5.11
221,383,4.98
221,393,4.82
221,403,4.54
221,413,4.43
221,423,4.29
221,433,3.98
221,443,3.83
221,453,3.85
221,454,3.71
226,153,4.04
226,163,4.08
226,173,4.17
226,183,4.31
226,193,4.36
226,203,4.48
226,213,4.67
226,223,4.82
226,233,4.86
226,243,5.08
226,253,5.17
226,263,5.37
226,273,5.41
226,283,5.47
226,293,5.45
226,303,5.45
226,313,5.44
226,323,5.3
226,333,5.29
226,343,5.29
226,353,5.32
226,363,5.3
226,373,5.28
226,383,5.26
226,393,5.04
226,403,4.78
226,413,4.58
226,423,4.31
226,433,4.25
226,443,3.98
226,453,3.83
226,454,3.79
231,153,4.17
231,163,4.17
231,173,4.3
231,183,4.43
231,193,4.57
231,203,4.62
231,213,4.85
231,223,4.95
231,233,5.12
231,243,5.21
231,253,5.38
231,263,5.54
231,273,5.63
231,283,5.66
231,293,5.68
231,303,5.67
231,313,5.52
231,323,5.51
231,333,5.49
231,343,5.49
231,353,5.53
231,363,5.52
231,373,5.53
231,383,5.41
231,393,5.22
231,403,4.95
231,413,4.85
231,423,4.51
231,433,4.32
231,443,4.02
231,453,3.98
231,454,3.81
236,153,4.37
236,163,4.33
236,173,4.44
236,183,4.55
236,193,4.71
236,203,4.88
236,213,5.08
236,223,5.09
236,233,5.26
236,243,5.47
236,253,5.64
236,263,5.75
236,273,5.71
236,283,5.83
236,293,5.89
236,303,5.72
236,313,5.7
236,323,5.67
236,333,5.67
236,343,5.7
236,353,5.71
236,363,5.72
236,373,5.72
236,383,5.56
236,393,5.36
236,403,5.27
236,413,4.91
236,423,4.75
236,433,4.48
236,443,4.27
236,453,4.05
236,454,3.88
241,153,4.49
241,163,4.54
241,173,4.58
241,183,4.74
241,193,4.92
241,203,4.99
241,213,5.12
241,223,5.32
241,233,5.5
241,243,5.67
241,253,5.72
241,263,5.92
241,273,5.95
241,283,5.99
241,293,5.89
241,303,5.91
241,313,5.89
241,323,5.91
241,333,5.91
241,343,5.92
241,353,5.91
241,363,5.93
241,373,5.92
241,383,5.8
241,393,5.48
241,403,5.42
241,413,5.11
241,423,4.81
241,433,4.58
241,443,4.33
241,453,4.27
241,454,4.03
246,153,4.6
246,163,4.63
246,173,4.76
246,183,4.92
246,193,5.0
246,203,5.24
246,213,5.26
246,223,5.45
246,233,5.71
246,243,5.84
246,253,6.08
246,263,6.13
246,273,6.14
246,283,6.11
246,293,6.11
246,303,6.12
246,313,6.12
246,323,6.09
246,333,6.12
246,343,6.14
246,353,6.15
246,363,6.16
246,373,6.18
246,383,6.1
246,393,5.78
246,403,5.52
246,413,5.18
246,423,5.11
246,433,4.83
246,443,4.54
246,453,4.33
246,454,4.25
251,153,4.79
251,163,4.8
251,173,4.92
251,183,5.08
251,193,5.12
251,203,5.42
251,213,5.54
251,223,5.73
251,233,5.81
251,243,5.96
251,253,6.24
251,263,6.38
251,273,6.4
251,283,6.37
251,293,6.36
251,303,6.33
251,313,6.33
251,323,6.33
251,333,6.32
251,343,6.36
251,353,6.39
251,363,6.42
251,373,6.42
251,383,6.14
251,393,5.96
251,403,5.72
251,413,5.34
251,423,5.28
251,433,5.0
251,443,4.62
251,453,4.45
251,454,4.27
255,153,4.91
255,163,4.98
255,173,5.01
255,183,5.19
255,193,5.38
255,203,5.55
255,213,5.76
255,223,5.82
255,233,5.99
255,243,6.29
255,253,6.34
255,263,6.56
255,273,6.58
255,283,6.56
255,293,6.53
255,303,6.5
255,313,6.49
255,323,6.53
255,333,6.54
255,343,6.54
255,353,6.54
255,363,6.59
255,373,6.59
255,383,6.41
255,393,6.18
255,403,5.78
255,413,5.7
255,423,5.42
255,433,5.09
255,443,4.83
255,453,4.54
255,454,4.46
